EmployeeID,FullName,Skill,Rating
E0059,Amanda Jimenez,Technical,4
E0060,Brian Haynes,Technical,2.5
E0061,David Spencer,Technical,1
E0062,Danielle Mendez,Technical,1
E0063,Dylan Morgan,Technical,4.5
E0064,Dawn Davis,Technical,2
E0065,Kimberly Prince,Technical,5
E0066,Philip Jenkins,Technical,1
E0067,Laura Wallace,Technical,3.5
E0068,Andres Norris,Technical,3.5
E0069,Lori Wilson,Technical,2.5
E0070,Jordan Beck,Technical,4
E0071,Bryan Lewis,Technical,1
E0072,Deborah Moore,Technical,4.5
E0073,Jesus Johnson,Technical,5
E0074,Amy Shelton,Technical,2
E0075,Anna Williams,Technical,4
E0076,David Ortiz,Technical,3
E0077,Thomas Anderson,Technical,3.5
E0078,Jennifer Thomas,Technical,2.5
E0079,Anthony Mcdonald,Technical,4
E0080,Roy Dennis,Technical,1
E0081,Heather Martin,Technical,3.5
E0082,Brian Young,Technical,2
E0083,Ryan Chaney,Technical,1.5
E0084,Richard Ramirez,Technical,5
E0085,Andrew Wagner,Technical,3.5
E0086,Rodney Boyd,Technical,2
E0087,Sherry Ramirez,Technical,1
E0088,Brian Cole,Technical,2
E0089,Mr. Kevin Kelly,Technical,1.5
E0090,Jessica Lewis,Technical,4
E0091,Felicia Brown,Technical,4.5
E0092,Adam Huynh,Technical,2
E0093,Jay Maddox,Technical,2.5
E0094,Walter Houston,Technical,2
E0095,Jennifer Fox,Technical,5
E0096,Randall Gray,Technical,3
E0097,Nicole Melton,Technical,4.5
E0098,Mrs. Jessica Brown,Technical,3.5
E0099,Donna Thompson,Technical,1.5
E0100,Charles Jarvis,Technical,3
E0101,Dana Nguyen,Technical,5
E0102,Heather Richardson,Technical,1
E0103,Denise Smith,Technical,3
E0104,Cameron Gonzales,Technical,3.5
E0105,Amy Johnson,Technical,3.5
E0106,Daniel Walker,Technical,2.5
E0107,Mr. Michael Myers DDS,Technical,4
E0108,Sara Anderson,Technical,2.5
E0109,Pamela Crawford,Technical,5
E0110,Joseph Bailey,Technical,2.5
E0111,Mrs. Carla Gonzalez MD,Technical,1.5
E0112,Joseph Hodge,Technical,2.5
E0113,Theresa Lowe,Technical,3.5
E0114,Bill Wilson,Technical,1
E0115,Sheri Coleman,Technical,3.5
E0116,Joshua White,Technical,3.5
E0117,Terri Allen,Technical,2.5
E0118,John Thomas,Technical,1
E0119,Lauren Anderson,Technical,1.5
E0120,Nicholas Swanson,Technical,3
E0121,Christine Wallace,Technical,1.5
E0122,Kevin Bass,Technical,1
E0123,Loretta Mcintyre,Technical,3
E0124,David Stewart,Technical,4
E0125,Susan Lewis,Technical,3
E0126,Gwendolyn Mitchell,Technical,2
E0127,Jerry Miller,Technical,3.5
E0128,Marc Stewart,Technical,2
E0129,Michael Smith,Technical,1
E0130,Chase Murray,Technical,3.5
E0131,Mark Singleton,Technical,4
E0132,Kayla Kelly,Technical,2
E0133,Kevin Tucker,Technical,5
E0134,Erika Wang,Technical,3.5
E0135,Misty Ortiz,Technical,1
E0136,Crystal Humphrey,Technical,2.5
E0137,Edwin Davis,Technical,2.5
E0138,Elizabeth Heath,Technical,2
E0139,Matthew Wong,Technical,2.5
E0140,Geoffrey Zimmerman,Technical,5
E0141,Stephanie Oconnor,Technical,4
E0142,Adrian Glenn,Technical,3.5
E0143,Michael Ellis,Technical,5
E0144,Karen Mccarthy,Technical,5
E0145,Cody Delacruz,Technical,2.5
E0146,Melissa Ingram,Technical,2
E0147,Kari Powell,Technical,4
E0148,Dylan Torres,Technical,4.5
E0149,Manuel Stephens,Technical,1
E0150,Robert Flores,Technical,5
E0151,Jacqueline Phillips,Technical,4.5
E0152,Alexis Morris,Technical,4
E0153,Alan Nash,Technical,2.5
E0154,Mary Peterson,Technical,4
E0155,John Smith,Technical,1
E0156,Alexander Robertson,Technical,5
E0157,Matthew Randall,Technical,4
E0158,Daniel Castillo,Technical,5
E0159,Jessica Mcdonald,Technical,3.5
E0160,Desiree Franco,Technical,3
E0161,Kara Jackson,Technical,4.5
E0162,Autumn Mcconnell,Technical,3
E0163,Emily Garcia,Technical,3
E0164,Brian Cox,Technical,4
E0165,Lindsay Vasquez,Technical,4.5
E0166,James Casey,Technical,3
E0167,Stacey Martin,Technical,4.5
E0168,Erin Owens,Technical,4
E0169,Jason Richard,Technical,5
E0170,Lindsey Martin,Technical,1.5
E0171,Patrick Myers,Technical,4
E0172,Damon Beltran,Technical,5
E0173,John Ponce,Technical,4.5
E0174,Robert Flores,Technical,1
E0175,Laura Cole,Technical,1
E0176,Christina Miller,Technical,2
E0177,Edward Johnson,Technical,3.5
E0178,Crystal Taylor,Technical,3.5
E0179,Maria Rodriguez,Technical,4.5
E0180,Jacob Roy,Technical,1
E0181,Larry White,Technical,4.5
E0182,Jonathan Christensen,Technical,1.5
E0183,Jon Thomas,Technical,4
E0184,Helen Perkins,Technical,1.5
E0185,Tommy Hall,Technical,3
E0186,Rebecca Gonzalez,Technical,5
E0187,Anthony Ho,Technical,3.5
E0188,Gabriel Long,Technical,4.5
E0189,Jill Ortiz,Technical,1.5
E0190,Melissa Orr,Technical,3.5
E0191,Cody Hughes,Technical,1
E0192,Brittney Greene,Technical,4.5
E0193,Dorothy Miller,Technical,4.5
E0194,Thomas Navarro,Technical,3.5
E0195,Kathleen Clark,Technical,5
E0196,Mark Young,Technical,4.5
E0197,David Harris,Technical,3.5
E0198,Donna Sanders,Technical,3.5
E0199,Jonathan Mitchell,Technical,3.5
E0200,Shannon Williams,Technical,1.5
E0201,Lisa Diaz,Technical,1.5
E0202,Richard Bailey,Technical,4.5
E0203,Timothy Mack,Technical,4
E0204,Timothy Lynch,Technical,3
E0205,Derek Wilkins,Technical,2.5
E0206,Brad Khan,Technical,2.5
E0207,Cody Mclaughlin,Technical,3.5
E0208,Timothy Snyder,Technical,2.5
E0209,Kenneth Price,Technical,2.5
E0210,Katrina Hoffman,Technical,4
E0211,Justin Garcia,Technical,3
E0212,Timothy Gray,Technical,2
E0213,Tyler Kramer,Technical,4.5
E0214,Heather Jones,Technical,1
E0215,Mario Weaver,Technical,1
E0216,Vanessa Bryant,Technical,3
E0217,Debbie Hubbard,Technical,1
E0218,Rachel Ali,Technical,1.5
E0219,Matthew Harris,Technical,2
E0220,Chloe Flynn,Technical,3
E0221,Kenneth Mooney,Technical,1
E0222,Maxwell White,Technical,2
E0223,Evan Ellis,Technical,1
E0224,Kevin Collins,Technical,1
E0225,Amy Bell,Technical,1
E0226,Kathy Miller,Technical,1
E0227,Brian Kim,Technical,1
E0228,Bradley Valenzuela,Technical,4.5
E0229,Jason Burton,Technical,1
E0230,Kelli Donovan,Technical,5
E0231,Katherine Williams,Technical,3.5
E0232,Donna Stewart,Technical,5
E0233,Kelly Hunt DVM,Technical,5
E0234,Jason Thomas,Technical,3.5
E0235,Thomas Hall,Technical,2
E0236,Bruce Edwards,Technical,1
E0237,Matthew Owen,Technical,1.5
E0238,Nancy Jenkins,Technical,2
E0239,John Perry,Technical,1
E0240,Steven Porter,Technical,3
E0241,Patrick Coleman,Technical,2
E0242,Jennifer Wright,Technical,5
E0243,Stephanie Delgado,Technical,1
E0244,James Miller,Technical,3.5
E0245,Brittany Hickman,Technical,5
E0246,Robin Anderson,Technical,2.5
E0247,Adrienne Aguilar,Technical,2.5
E0248,Scott Davis,Technical,2
E0249,Erin Pineda,Technical,1.5
E0250,Amy Giles,Technical,4.5
E0251,Alicia Peterson,Technical,4
E0252,Thomas Gutierrez,Technical,4
E0253,Michael Hooper,Technical,3
E0254,Katrina Deleon,Technical,4.5
E0255,Daniel Murphy,Technical,4.5
E0256,Michael Garcia,Technical,2.5
E0257,Lisa Paul MD,Technical,3.5
E0258,Theresa Ramirez,Technical,5
E0259,Emily Bell,Technical,3.5
E0260,Lisa Wolf,Technical,1.5
E0261,Jasmine Hernandez MD,Technical,4.5
E0262,Paul George,Technical,4
E0263,Daniel Lawrence,Technical,3.5
E0264,Katherine Perkins,Technical,2.5
E0265,Sandra Ramirez,Technical,3.5
E0266,Karen Thomas,Technical,3
E0267,April Lopez,Technical,1
E0268,James Logan,Technical,3
E0269,Joanna Knox MD,Technical,4
E0270,Jessica Pope,Technical,4
E0271,Mitchell Johnson,Technical,2.5
E0272,Susan Brewer,Technical,2
E0273,John Jimenez PhD,Technical,4
E0274,Crystal Ellison,Technical,4.5
E0275,Nathan Wright,Technical,4.5
E0276,Kimberly Whitney,Technical,3.5
E0277,Brandon Moore,Technical,2
E0278,Samuel Hudson,Technical,1.5
E0279,Julie West,Technical,2.5
E0280,Erica Weiss,Technical,2.5
E0281,Ebony Marshall,Technical,3
E0282,Jessica Hamilton,Technical,1.5
E0283,Brenda Reynolds,Technical,4
E0284,Tara Mckinney,Technical,4
E0285,Michelle Allen,Technical,3
E0286,Amy Levy,Technical,3.5
E0287,David Weiss,Technical,4.5
E0288,Brandi Gonzalez,Technical,2
E0289,Mitchell Clark,Technical,5
E0290,Christopher Adams,Technical,4.5
E0291,Derek Bright,Technical,3
E0292,William Rush,Technical,2
E0293,Morgan Evans,Technical,1
E0294,Elizabeth Cole,Technical,1.5
E0295,Terri Martin,Technical,2.5
E0296,Susan Calderon MD,Technical,1.5
E0297,Michael Barton,Technical,4.5
E0298,Jeremiah Moore,Technical,4
E0299,Elizabeth Curtis,Technical,2
E0300,James Mckee,Technical,4.5
E0301,Jeffrey Andrews,Technical,4.5
E0302,Dennis Bell,Technical,1
E0303,Jennifer Bush,Technical,2
E0304,Shane Brown,Technical,2.5
E0305,Stephen Lowe,Technical,1
E0306,Melissa Turner,Technical,4
E0307,Sharon Price,Technical,3.5
E0308,Jennifer Roy,Technical,2.5
E0309,Deanna Hayes,Technical,4
E0310,Matthew Conley,Technical,1.5
E0311,Joel Lucero,Technical,3
E0312,Mary Gibson,Technical,3.5
E0313,Richard Williams,Technical,1
E0314,Jacqueline Mclaughlin,Technical,2.5
E0315,David Farrell,Technical,1.5
E0316,James Weber,Technical,2
E0317,Julie Price,Technical,1
E0318,Betty Ryan,Technical,1
E0319,Natalie Martinez,Technical,5
E0320,George Hendrix,Technical,3.5
E0321,Samantha Butler,Technical,5
E0322,Beth King,Technical,1.5
E0323,Christina Smith,Technical,1.5
E0324,Brandi Young,Technical,4
E0325,Amanda Parker,Technical,3
E0326,Kenneth Walker,Technical,1
E0327,Kevin Spencer,Technical,4
E0328,Yolanda White,Technical,2
E0329,Denise Taylor DVM,Technical,3.5
E0330,Alexandria Hernandez,Technical,2
E0331,Kristopher Hendricks,Technical,2
E0332,Christine Hobbs,Technical,3
E0333,Jessica Clayton,Technical,4.5
E0334,Kevin Webster,Technical,3.5
E0335,Daisy Powell,Technical,1.5
E0336,James Santiago,Technical,4.5
E0337,Jennifer Shelton,Technical,2.5
E0338,Dawn Moore,Technical,3.5
E0339,Stephanie Franklin,Technical,3
E0340,Kimberly Henderson,Technical,3.5
E0341,Eric Miller,Technical,4.5
E0342,Sandra Alvarado,Technical,2
E0343,Kimberly Taylor,Technical,2.5
E0344,Ann Turner,Technical,5
E0345,Wayne Miller,Technical,4
E0346,Shelley Miller,Technical,3
E0347,Timothy Cooper,Technical,3
E0348,Anna Mcdaniel,Technical,1
E0349,Andrew Rodriguez,Technical,3
E0350,Rachel Abbott,Technical,3.5
E0351,Amy Jimenez,Technical,3
E0352,Donna Delgado,Technical,1.5
E0353,Lori Smith,Technical,2
E0354,Zachary Barber,Technical,1.5
E0355,Tammie Brown,Technical,4
E0356,Randy Reed,Technical,2.5
E0357,Kelli Frank,Technical,2.5
E0358,Marco Gates,Technical,3.5
E0359,Andrew Miller,Technical,4
E0360,Amanda Lopez,Technical,4
E0361,Douglas Stein,Technical,4.5
E0362,Jon Green,Technical,1.5
E0363,Randall Espinoza,Technical,4
E0364,Kenneth Lucas,Technical,2
E0365,Brandy Hampton MD,Technical,5
E0366,Valerie Brooks,Technical,5
E0367,Steven Robertson,Technical,1
E0368,Bruce Mccoy,Technical,5
E0369,Sarah Acosta,Technical,3.5
E0370,Alyssa Norris,Technical,2.5
E0371,Devin Johnson,Technical,3
E0372,Jessica Collins,Technical,4.5
E0373,Tina Jones,Technical,2
E0374,Olivia Williams,Technical,3.5
E0375,Tanya Brooks,Technical,1.5
E0376,Beverly Avila,Technical,5
E0377,Brianna Davidson,Technical,1
E0378,Robert Reynolds,Technical,4
E0379,Jesse Nelson,Technical,3
E0380,Kyle Delacruz,Technical,1
E0381,Robert Barber,Technical,4
E0382,Laura Phillips,Technical,4
E0383,Jonathan Williamson,Technical,1
E0384,Patrick Young,Technical,5
E0385,Robert Nelson,Technical,1
E0386,John Whitaker,Technical,4
E0387,Jordan Rocha,Technical,3.5
E0388,Amber Hunter,Technical,2.5
E0389,Suzanne Burton,Technical,2.5
E0390,Kelly Pena,Technical,2.5
E0391,Jessica Perkins,Technical,4.5
E0392,Cassandra Fitzgerald,Technical,4.5
E0393,Jeffrey Rivera,Technical,2.5
E0394,Michele Kidd,Technical,2.5
E0395,Sherri Morrison,Technical,3
E0396,Sharon Owens,Technical,4.5
E0397,William Mitchell,Technical,3
E0398,Kyle Wolf,Technical,4.5
E0399,Lisa Johnson,Technical,3.5
E0400,Kimberly Sanders,Technical,3
E0401,Wendy Torres,Technical,1.5
E0402,Lauren Nixon,Technical,4
E0403,John Gutierrez,Technical,3
E0404,Ashley Bailey,Technical,2.5
E0405,Brooke Hoffman,Technical,3
E0406,Holly Reid,Technical,1
E0407,James Adams,Technical,1
E0408,Thomas Santiago,Technical,4
E0409,Lance Smith,Technical,2.5
E0410,Donald Williams,Technical,4.5
E0411,Ross Perkins,Technical,5
E0412,Kaitlin Morgan,Technical,1
E0413,Derek Vargas,Technical,2.5
E0414,Jason Hernandez,Technical,5
E0415,Sherry Howard,Technical,3.5
E0416,Victoria Richardson,Technical,3.5
E0417,Trevor Rose,Technical,2
E0418,Desiree Brown,Technical,1
E0419,Tiffany Baker,Technical,5
E0420,Kristin Martinez,Technical,3.5
E0421,Erin Davis MD,Technical,5
E0422,Sara Young,Technical,3
E0423,Catherine Evans,Technical,2
E0424,Alexis Hall,Technical,5
E0425,Brenda Sandoval,Technical,3.5
E0426,Michael Greene,Technical,4.5
E0427,Patty Mcintosh,Technical,1.5
E0428,Jessica Ruiz,Technical,1
E0429,Michael Evans,Technical,4.5
E0430,Keith Stewart,Technical,3
E0431,Matthew Jefferson,Technical,1.5
E0432,Raymond Phillips,Technical,4
E0433,Cody Fischer,Technical,2.5
E0434,Jennifer Padilla,Technical,3.5
E0435,Belinda Young,Technical,2
E0436,Joy Taylor,Technical,2
E0437,Paul Calderon,Technical,2
E0438,Heather Anderson,Technical,4
E0439,Curtis Nunez,Technical,5
E0440,Duane Prince,Technical,1
E0441,Rick Martin,Technical,4
E0442,Gary Mcclain,Technical,2.5
E0443,Sherry Martinez,Technical,1
E0444,Jose Rowe,Technical,1
E0445,Heidi Andrews,Technical,5
E0446,Jacob Richardson,Technical,2
E0447,Sergio Snyder,Technical,1.5
E0448,Angela Watts,Technical,5
E0449,Karina Johnson,Technical,1.5
E0450,Charles George,Technical,4
E0451,Caitlin Long,Technical,1
E0452,Laura Noble,Technical,2
E0453,Allison James,Technical,4
E0454,Brandon Brown,Technical,2
E0455,Andrea Rodriguez,Technical,4.5
E0456,Sarah Williams,Technical,5
E0457,Karen Jones,Technical,5
E0458,Matthew English,Technical,2
E0459,Drew Dennis,Technical,3
E0460,Mark Keller,Technical,3.5
E0461,Elizabeth Gonzales DVM,Technical,1
E0462,Christine Berg,Technical,2
E0463,Anthony Collins,Technical,3.5
E0464,Richard Lopez,Technical,4
E0465,Aaron Rodriguez,Technical,2
E0466,Bryan Juarez,Technical,1
E0467,Ricardo Boyd,Technical,1.5
E0468,Danny Gardner,Technical,2
E0469,Debra Jensen,Technical,2.5
E0470,Heather Smith,Technical,1.5
E0471,Kathy Stokes,Technical,1.5
E0472,Thomas Alvarez,Technical,4
E0473,Melissa Greer,Technical,2
E0474,Brian Daniels,Technical,1
E0475,Shawn Moore,Technical,1.5
E0476,Isaac Doyle,Technical,1
E0477,Scott Pierce,Technical,1
E0478,Nikitha,Technical,2.5
E0479,Elizabeth Morgan,Technical,3.5
E0480,Steven Mills,Technical,5
E0481,Ruben Johnson,Technical,2
E0482,Juan Gibson,Technical,3.5
E0483,Raymond Martin,Technical,5
E0484,Ronald Brown,Technical,4.5
E0485,Chelsea Rodriguez,Technical,1
E0486,Ashley Coleman,Technical,2.5
E0487,Andrew Alvarez,Technical,3
E0488,Amanda Sanders,Technical,1.5
E0489,Rebecca Vargas,Technical,3
E0490,Linda Gonzalez,Technical,1.5
E0491,Alan French,Technical,1.5
E0492,Shawn Aguilar,Technical,4
E0493,Andrea Watts,Technical,1.5
E0494,Sherri Brown,Technical,2.5
E0495,Alex Lopez,Technical,4
E0496,Taylor Brown,Technical,4.5
E0497,Sandy Bates,Technical,5
E0498,Stephanie Zhang,Technical,4
E0499,Manuel Myers,Technical,1
E0500,Shannon Davis,Technical,2.5
E0501,Elizabeth Robertson,Technical,3.5
E0502,Richard Nguyen,Technical,1
E0503,Danielle Hill,Technical,4
E0504,Lisa Smith,Technical,2
E0505,Colleen Turner,Technical,2
E0506,Jennifer Watson,Technical,5
E0507,Audrey Bird,Technical,1
E0508,Nicole Hurley,Technical,2
E0509,David Mullen,Technical,5
E0510,Donald Thomas,Technical,5
E0511,Jeremy Peters,Technical,1
E0512,Cheyenne Allen,Technical,2.5
E0513,Brian Warren,Technical,1.5
E0514,Catherine Welch,Technical,2.5
E0515,Angela Price,Technical,1
E0516,Rita Davila,Technical,4.5
E0517,Daniel Phillips,Technical,1.5
E0518,Jeffrey Bean,Technical,5
E0519,Charles Smith,Technical,4.5
E0520,Amber Simon,Technical,2
E0521,Shannon Taylor,Technical,4
E0522,John Harris,Technical,4.5
E0523,Morgan Wilson,Technical,1.5
E0524,Rachel Nguyen,Technical,4
E0525,Linda Strickland,Technical,1
E0526,Randy James,Technical,1
E0527,Melissa Dalton,Technical,1.5
E0528,David Washington,Technical,3.5
E0529,Brian Davis,Technical,1
E0530,Martin Mendez,Technical,3.5
E0531,Michael Cooper,Technical,1.5
E0532,Angela Brown,Technical,1.5
E0533,Kurt Munoz,Technical,5
E0534,Nancy Dunn,Technical,4
E0535,Michelle Ball,Technical,3
E0536,Kelly Perez,Technical,1
E0537,Jessica Sanchez,Technical,1
E0538,Blake Todd,Technical,2
E0539,Mark Mcdonald,Technical,4.5
E0540,Luis Velasquez,Technical,5
E0541,Jake Gibbs,Technical,3.5
E0542,Margaret Harris,Technical,3
E0543,Katelyn Parker,Technical,4
E0544,Victoria Allen,Technical,2
E0545,Lisa Brady,Technical,2
E0546,Susan Taylor,Technical,5
E0547,Katherine Richards,Technical,4.5
E0548,Rachel Green,Technical,5
E0549,Nicholas Graves,Technical,3.5
E0550,Rebecca Walters,Technical,1.5
E0551,Sara Henry,Technical,5
E0552,Jimmy Watkins,Technical,1
E0553,Taylor Nichols,Technical,1
E0554,Robert Gonzales,Technical,1.5
E0555,Cynthia Moss,Technical,2
E0556,Yolanda Dyer,Technical,5
E0557,Caleb Jones,Technical,5
E0558,Thomas Marquez,Technical,2
E0559,Matthew Malone,Technical,4.5
E0560,Ronald Peterson,Technical,4
E0561,Andrew Pratt,Technical,1
E0562,William Coleman,Technical,2
E0563,Amanda White,Technical,3.5
E0564,Ashley Swanson,Technical,4
E0565,Carl Davila,Technical,1
E0566,Michael Luna,Technical,4
E0567,Jack Valdez,Technical,1.5
E0568,Gregory Kim,Technical,4.5
E0569,Joseph Greer,Technical,5
E0570,Jason Wang,Technical,2
E0571,Paul Newton,Technical,5
E0572,Faith Chavez,Technical,1.5
E0573,Abigail Mckinney,Technical,2.5
E0574,Bonnie Andersen,Technical,4.5
E0575,Dakota Burke,Technical,4
E0576,Adam Johnson,Technical,2.5
E0577,Heather Bradshaw,Technical,3
E0578,Mary Martin,Technical,4.5
E0579,Christopher Hudson,Technical,4.5
E0580,Francisco Giles,Technical,4.5
E0581,James Osborn,Technical,5
E0582,Krista Rogers,Technical,4
E0583,Destiny Davidson,Technical,1.5
E0584,Brandi Hawkins,Technical,1.5
E0585,Amanda Whitaker,Technical,4.5
E0586,Nicole Schmidt,Technical,2
E0587,Gabriel Alvarez,Technical,4
E0588,Joshua Thompson,Technical,4.5
E0589,Wyatt Hayes,Technical,1
E0590,Kelly Frey,Technical,4
E0591,Miranda Martin,Technical,1
E0592,Katelyn Henderson,Technical,4
E0593,Justin Perez,Technical,4.5
E0594,Shelly Green,Technical,2
E0595,Michael Martin,Technical,5
E0596,Laura Fletcher,Technical,4.5
E0597,Anne Adams,Technical,4.5
E0598,Donna Green,Technical,4.5
E0599,Jessica Martinez,Technical,4
E0600,Laura Harrell,Technical,3.5
E0601,Dennis Martin,Technical,1
E0602,Deborah Edwards,Technical,4.5
E0603,Ashley Moon,Technical,2.5
E0604,Joshua Anderson,Technical,3
E0605,James Roberts,Technical,3
E0606,Thomas Hensley,Technical,5
E0607,Danielle Gates,Technical,3.5
E0608,Brent Harper,Technical,3.5
E0609,Angela Harris,Technical,1.5
E0610,Donald Fuller,Technical,1.5
E0611,Tiffany Thompson,Technical,3.5
E0612,Kathryn Miller,Technical,2
E0613,Mrs. Jessica Wilson,Technical,2.5
E0614,Paula Walter,Technical,5
E0615,Christina Cox,Technical,3.5
E0616,Brandon Fitzgerald,Technical,1
E0617,Thomas Wilcox,Technical,1
E0618,Jeff King,Technical,4.5
E0619,Ernest Cole,Technical,2
E0620,Steven Harvey,Technical,2.5
E0621,Donna Trevino,Technical,3
E0622,David Mccoy,Technical,5
E0623,Eric Hood,Technical,3.5
E0624,Molly Gonzales,Technical,1
E0625,Zachary Lewis,Technical,3
E0626,Blake Huerta,Technical,1.5
E0627,Melissa Parrish,Technical,4
E0628,Daniel Stevens,Technical,2.5
E0629,Rebecca Butler,Technical,3.5
E0630,David Anderson,Technical,2.5
E0631,Jennifer Mora,Technical,3.5
E0632,Gerald Smith,Technical,3.5
E0633,Sarah Bridges,Technical,1
E0634,David Sanders,Technical,5
E0635,Lauren Williamson,Technical,2.5
E0636,Ronnie Campbell,Technical,4.5
E0637,Andrew Wiley,Technical,3
E0638,Laura Rose,Technical,4.5
E0639,Kristie Bullock,Technical,5
E0640,Joseph Ramos,Technical,2
E0641,Paul Glenn,Technical,4
E0642,Ammu,Technical,5
E0643,William Cervantes,Technical,1.5
E0644,Andrea Baker,Technical,4
E0645,Shawn Morris,Technical,4
E0646,Paul Martin,Technical,3.5
E0647,Kevin Harris,Technical,5
E0648,John Lawrence,Technical,1
E0649,Stephanie Adams,Technical,4.5
E0650,Travis Thompson,Technical,2.5
E0651,Brandon Webb,Technical,1
E0652,Jessica Palmer,Technical,1
E0653,Ann Campbell,Technical,1
E0654,Larry Snyder,Technical,1.5
E0655,Joshua Carroll,Technical,3
E0656,Jon Villa,Technical,2.5
E0657,Eugene Armstrong,Technical,4
E0658,Raymond Robinson,Technical,3
E0659,Sarah Conway,Technical,3
E0660,Amy Patrick,Technical,4
E0661,Jennifer Pearson,Technical,3
E0662,Bonnie Melton,Technical,3
E0663,Cheryl Martin,Technical,3.5
E0664,Cindy Walker,Technical,5
E0665,Mark Taylor,Technical,3.5
E0666,Terry Mack,Technical,1.5
E0667,Ethan Webb,Technical,4
E0668,Anna Rodriguez,Technical,3
E0669,Sarah Howard,Technical,4.5
E0670,Michael Galvan,Technical,3.5
E0671,Jennifer Johnson,Technical,4
E0672,Stephanie Spencer,Technical,2.5
E0673,Mike Russell,Technical,4.5
E0674,David Sullivan,Technical,1.5
E0675,Jason Johnson,Technical,4
E0676,Edward Smith,Technical,3.5
E0677,Vanessa Keith,Technical,4
E0678,Billy Nguyen,Technical,4
E0679,Michelle Chen,Technical,2.5
E0680,Jill Martin,Technical,1
E0681,John Thompson,Technical,2.5
E0682,David Keller,Technical,1.5
E0683,Miguel Rogers,Technical,3
E0684,Kimberly Stone,Technical,5
E0685,Michael Jones,Technical,2
E0686,Hannah Hamilton,Technical,3.5
E0687,John Barr,Technical,4
E0688,Emily Elliott,Technical,2.5
E0689,Stephen Lyons,Technical,1.5
E0690,Jeremy Quinn,Technical,4.5
E0691,Julia Mcguire,Technical,4.5
E0692,Matthew Jones,Technical,3
E0693,Karen Ortiz,Technical,3.5
E0694,Betty Thompson,Technical,2
E0695,Debra Cunningham,Technical,4
E0696,Sean Fernandez,Technical,5
E0697,Meredith Hicks,Technical,1.5
E0698,Andrew Thompson,Technical,2
E0699,Kaitlyn Hicks,Technical,4
E0700,Amy Jones,Technical,1
E0701,Aaron Greene,Technical,1.5
E0702,Jose Freeman,Technical,5
E0703,Stephanie Walsh,Technical,1.5
E0704,Melanie Joseph,Technical,4
E0705,Daniel Kelly,Technical,1
E0706,Michael Brown,Technical,3
E0707,James Jenkins,Technical,2
E0708,Eric Walton,Technical,1.5
E0709,Nathan Norton,Technical,3
E0710,Kari Green,Technical,4.5
E0711,Anna Graham,Technical,1.5
E0712,Derek Owen,Technical,1
E0713,William Costa,Technical,1.5
E0714,Carol Sawyer,Technical,3
E0715,Nicholas Lee,Technical,2.5
E0716,Robert Porter,Technical,3.5
E0717,James Silva,Technical,4.5
E0718,Mario Olson,Technical,3
E0719,Carla Nguyen,Technical,5
E0720,Hayden Long,Technical,5
E0721,James Randolph,Technical,1
E0722,Michael Lane,Technical,2.5
E0723,Jessica Gonzalez,Technical,3
E0724,Chad Mccarty,Technical,4
E0725,Stacy Walker,Technical,3.5
